Category,Term ,Definition
Lab Test,Urinalysis,"Examines urine for physical, chemical, and microscopic properties to detect infections, kidney disease, or metabolic disorders."
Lab Test,Liver Function Tests (LFTs),"Includes tests like ALT, AST, bilirubin, and alkaline phosphatase to assess liver health."
Lab Test,C-Reactive Protein (CRP),"Measures inflammation in the body, often elevated in infections or chronic inflammatory conditions."
Lab Test,Erythrocyte Sedimentation Rate (ESR),"Measures how quickly red blood cells settle at the bottom of a test tube, indicating inflammation or infection"
Lab Test,Blood Culture,Detects bacterial or fungal infections in the bloodstream
Lab Test,D-Dimer Test,"Measures fibrin degradation products in the blood, used to detect blood clots such as deep vein thrombosis (DVT) or pulmonary embolism (PE)."
Lab Test,Ferritin Test,"Measures the amount of stored iron in the body, used to diagnose anemia or iron overload."
Lab Test,Vitamin D Test,Measures the level of vitamin D in the blood to evaluate bone health and calcium metabolism.
Lab Test,Rheumatoid Factor (RF) Test,Detects antibodies associated with rheumatoid arthritis and other autoimmune diseases.
Lab Test,Antinuclear Antibody (ANA) Test,Identifies autoantibodies often present in autoimmune disorders like lupus.
Lab Test,HIV Test,Detects antibodies or antigens associated with HIV infection.
Lab Test,Rapid Strep Test,"Detects streptococcal bacteria, the cause of strep throat."
Lab Test,Pregnancy Test (hCG Test),Measures human chorionic gonadotropin hormone in blood or urine to confirm pregnancy.
Lab Test,Bone Marrow Biopsy,Analyzes bone marrow samples to diagnose conditions like leukemia or anemia.
Lab Test,PSA Test (Prostate-Specific Antigen),Measures PSA levels in the blood to screen for prostate cancer or monitor treatment.
Lab Test,Arterial Blood Gas (ABG),"Measures oxygen, carbon dioxide, and pH levels in arterial blood to assess lung function and acid-base balance."
Lab Test,Electrolyte Panel,"Measures levels of sodium, potassium, chloride, and bicarbonate in the blood to assess hydration and electrolyte balance."
Lab Test,Microalbumin Test,"Detects small amounts of albumin in urine, an early indicator of kidney disease."
Lab Test,Culture and Sensitivity (C&S),Identifies the type of bacteria or fungus causing an infection and determines the best antibiotic for treatment.
Lab Test,Blood Glucose Test,Measures blood sugar levels to diagnose and monitor diabetes.
Lab Test,Troponin Test,"Detects proteins released into the blood during a heart attack, used for diagnosing acute coronary syndromes."
Lab Test,Lactate Dehydrogenase (LDH),"Measures an enzyme released during tissue damage, used to assess cell injury or death."
Lab Test,Amylase and Lipase Tests,Measures enzymes produced by the pancreas to diagnose pancreatitis.
Lab Test,TSH Reflex Test,Measures thyroid-stimulating hormone (TSH) and reflexively tests T3 and T4 if TSH is abnormal.
Lab Test,Allergy Testing,Detects specific allergens by measuring IgE antibodies in response to potential triggers.
Lab Test,Hematocrit Test,"Measures the proportion of red blood cells in the blood, used to diagnose anemia or polycythemia."
Lab Test,Serum Albumin Test,"Evaluates protein levels in the blood, an indicator of liver or kidney health and nutritional status."
Lab Test,Creatine Kinase (CK) Test,"Measures enzyme levels released by damaged muscles, often elevated in heart attacks or muscle injuries."
Lab Test,Parathyroid Hormone (PTH) Test,Measures PTH levels to assess calcium regulation and parathyroid gland function.
Lab Test,B-Type Natriuretic Peptide (BNP) Test,Measures BNP levels to evaluate heart failure severity.
Lab Test,Folate Test,"Measures folic acid levels in the blood to detect deficiencies, often linked to anemia."
Lab Test,Sputum Culture,Identifies pathogens in mucus to diagnose respiratory infections like pneumonia or tuberculosis.
Lab Test,Serum Osmolality Test,Measures the concentration of solutes in the blood to assess hydration status and electrolyte balance.
Lab Test,Glycated Hemoglobin (HbA1c),"Assesses average blood glucose levels over 2–3 months, a key metric for diabetes management."
Lab Test,Vitamin B12 Test,Measures B12 levels to evaluate nutritional deficiencies or pernicious anemia.
Lab Test,Fecal Occult Blood Test (FOBT),"Detects hidden blood in stool, a possible sign of colorectal cancer or gastrointestinal bleeding."
Lab Test,Coombs Test (Direct/Indirect),Detects antibodies that may cause hemolytic anemia or issues in pregnancy.
Lab Test,Zinc Test,"Measures zinc levels in the blood, used to detect deficiencies that may affect immune function and wound healing."
Lab Test,Hepatic Panel,"A group of blood tests that assess liver function and include bilirubin, ALT, AST, and ALP."
Lab Test,Cortisol Test,"Measures cortisol levels in blood, saliva, or urine to assess adrenal gland function and diagnose Cushing's syndrome or Addison's disease."
Lab Test,Toxicology Screen,"Detects drugs, alcohol, or toxins in the body for medical or forensic purposes."
Lab Test,Hepatitis Panel,"A series of tests to detect and differentiate between types of hepatitis (A, B, C, etc.)."
Lab Result,Elevated White Blood Cell (WBC) Count,"Indicates infection, inflammation, stress, or immune system activation."
Lab Result,Low White Blood Cell (WBC) Count (Leukopenia),"Suggests bone marrow suppression, viral infection, or autoimmune disorders."
Lab Result,Elevated Hemoglobin,"Indicates dehydration, polycythemia, or high oxygen demand."
Lab Result,Low Hemoglobin (Anemia),"Reflects blood loss, nutritional deficiencies, or chronic diseases"
Lab Result,Elevated Platelet Count (Thrombocytosis),"Suggests inflammation, infection, or bone marrow disorders."
Lab Result,Low Platelet Count (Thrombocytopenia),"Indicates bleeding disorders, bone marrow suppression, or immune-related conditions."
Lab Result,Elevated Blood Glucose (Hyperglycemia),"Reflects diabetes, stress, or metabolic disorders."
Lab Result,Low Blood Glucose (Hypoglycemia),"Indicates insulin overdose, fasting, or endocrine disorders."
Lab Result,Elevated Creatinine,Indicates kidney dysfunction or dehydration.
Lab Result,Low Creatinine,Reflects reduced muscle mass or malnutrition.
Lab Result,Elevated Blood Urea Nitrogen (BUN),"Suggests kidney dysfunction, dehydration, or high protein metabolism."
Lab Result,Low Blood Urea Nitrogen (BUN),"Indicates malnutrition, liver disease, or overhydration."
Lab Result,Elevated Sodium (Hypernatremia),"Reflects dehydration, adrenal dysfunction, or excessive salt intake."
Lab Result,Low Sodium (Hyponatremia),"Indicates overhydration, kidney disease, or adrenal insufficiency."
Lab Result,Elevated Potassium (Hyperkalemia),"Suggests kidney dysfunction, tissue damage, or adrenal insufficiency."
Lab Result,Low Potassium (Hypokalemia),"Reflects diuretic use, malnutrition, or endocrine disorders."
Lab Result,Elevated Calcium (Hypercalcemia),"Indicates parathyroid dysfunction, cancer, or vitamin D overdose."
Lab Result,Low Calcium (Hypocalcemia),"Suggests parathyroid dysfunction, vitamin D deficiency, or kidney disease."
Lab Result,Elevated Liver Enzymes (ALT/AST),"Indicates liver inflammation, infection, or injury."
Lab Result,Elevated Bilirubin,"Reflects liver dysfunction, bile duct obstruction, or hemolysis."
Lab Result,Low Albumin,"Indicates malnutrition, liver disease, or kidney dysfunction."
Lab Result,Elevated Cholesterol (Hypercholesterolemia),"Suggests cardiovascular risk, metabolic syndrome, or genetic disorders."
Lab Result,Elevated Triglycerides,"Reflects metabolic disorders, high-fat diets, or uncontrolled diabetes."
Lab Result,Elevated CRP (C-Reactive Protein),Indicates acute inflammation or infection.
Lab Result,Elevated ESR (Erythrocyte Sedimentation Rate),Suggests chronic inflammation or autoimmune disorders.
Lab Result,Elevated TSH (Thyroid-Stimulating Hormone),Indicates hypothyroidism or thyroid dysfunction.
Lab Result,Low TSH,Suggests hyperthyroidism or pituitary dysfunction
Lab Result,Elevated Hemoglobin A1c,Reflects poor long-term blood sugar control in diabetes.
Lab Result,Elevated D-Dimer,"Indicates blood clot formation or breakdown, often seen in thrombosis."
Lab Result,Elevated BNP (B-Type Natriuretic Peptide),Suggests heart failure or cardiac stress.
Lab Result,Elevated Amylase/Lipase,Reflects pancreatic inflammation or injury.
Lab Result,Elevated Uric Acid,"Indicates gout, kidney dysfunction, or metabolic syndrome."
Lab Result,Elevated Lactate,"Reflects tissue hypoxia, sepsis, or metabolic disorders."
Lab Result,Elevated Troponin,"Suggests cardiac muscle damage, often related to a heart attack."
Lab Result,Elevated Ferritin,"Indicates iron overload, inflammation, or chronic disease"
Lab Result,Low Ferritin,Reflects iron deficiency or anemia.
Lab Result,Elevated Alkaline Phosphatase (ALP),"Indicates liver, bone, or bile duct disorders."
Lab Result,Low Alkaline Phosphatase (ALP),"Suggests malnutrition, hypothyroidism, or zinc deficiency."
Lab Result,Elevated Prothrombin Time (PT),Indicates blood clotting dysfunction or liver disease.
Lab Result,Low Prothrombin Time (PT),Suggests increased clotting risk or vitamin K excess
Lab Result,Elevated Vitamin D,Reflects excessive supplementation or hypercalcemia
Lab Result,Low Vitamin D,"Indicates deficiency, poor bone health, or malabsorption."
Lab Result,Elevated Magnesium,Suggests kidney dysfunction or excessive supplementation.
Lab Result,Low Magnesium,"Reflects malnutrition, chronic alcoholism, or endocrine disorders."
Lab Result,Elevated Fibrinogen,"Indicates inflammation, infection, or clotting disorders."
Lab Result,Low Fibrinogen,Suggests bleeding disorders or liver dysfunction
Lab Result,Elevated Serum Osmolality,"Reflects dehydration, hypernatremia, or high blood glucose."
Lab Result,Low Serum Osmolality,"Indicates overhydration, hyponatremia, or endocrine disorders."
Lab Result,Positive ANA (Antinuclear Antibody),Suggests autoimmune disorders like lupus or rheumatoid arthritis.
Lab Result,Elevated CK (Creatine Kinase),"Reflects muscle damage, heart attack, or rhabdomyolysis."
